"id","caseNumber","serviceType","incidentType","source","occurredDate","receivedDate","completedDate","assignment","allegation","disposition","residentIdentifier","residentRole","residentRace","residentSex","residentAge","officerIdentifier","officerRace","officerSex","officerAge","officerYearsOfService"
"85f105ed70ba3e2ac9d243c569aefd38","2016-0236","","External Complaints","Attorney","2016-03-11 00:00:00","2016-05-25 00:00:00","2016-12-05 00:00:00","Southern District","Misconduct/VCS Planting Evidence","Unfounded","85c0851fa86d95bc1a8c16be177ae0fb","Complainant","Black","Male","54","1f0c2bd534d5ba2b6882309cffe457eb","White","Male","49","23"
"9952053e8bd291673011297e7d6cd51f","2018-0479","","External Complaints","Phone Call","2018-08-13 00:00:00","2018-08-21 00:00:00","","Northwest District","Harassment","","7d6c3712163f57126f2e489ed38d3b88","Witness","","","","c86b45649eaf5c94b6823991967196e5","African Amer","Male","48","17"
"c768c162929dce0415946c7acb5cfaa0","2019-0387","","External Complaints","Kga","2019-03-06 00:00:00","2019-03-06 00:00:00","","Northern District","Neglect/General","","b0e90cfcb3402122319a35fbd29668a4","Complainant","Black","Male","","caab291627916d724a8786ac48aabb4c","African Amer","Male","29","2"
"da36df32d1295b9d2e32a31cdcf7e999","2019-0440","","Ethics","Anonymous","","2019-03-13 00:00:00","","","Conduct Unbecoming a Police Officer/Employee","","88d38584556a63857643fe0aa0822a63","Complainant","","Female","","","","","",""
"cb4c0c043a8101d56423402e1673fe60","2019-0418","","External Complaints","Kga","2019-03-10 00:00:00","2019-03-10 00:00:00","","WATF","Improper Stop/Search/Seizure","","32950cb9493b919652279fc313fe8ebe","Complainant","Black","Male","","9fa7aa7edda47e4538876e0d78e9df42","White","Male","47","23"
"cb4c0c043a8101d56423402e1673fe60","2019-0418","","External Complaints","Kga","2019-03-10 00:00:00","2019-03-10 00:00:00","","WATF","Harassment","","a1be6e0a93dddf452a8497ed1be0eac6","Complainant","","Male","","425b081565e6a4933c0604d2b5240b7e","White","Male","47","19"
"cb4c0c043a8101d56423402e1673fe60","2019-0418","","External Complaints","Kga","2019-03-10 00:00:00","2019-03-10 00:00:00","","WATF","Improper Stop/Search/Seizure","","a1be6e0a93dddf452a8497ed1be0eac6","Complainant","","Male","","425b081565e6a4933c0604d2b5240b7e","White","Male","47","19"
"cb4c0c043a8101d56423402e1673fe60","2019-0418","","External Complaints","Kga","2019-03-10 00:00:00","2019-03-10 00:00:00","","WATF","Improper Stop/Search/Seizure","","32950cb9493b919652279fc313fe8ebe","Complainant","Black","Male","","cf5ef866b0233531b3f0fbd5bc15fb70","Korean","Male","41","17"
"f48fbea1eb632e793024be7a51403c28","2019-0401","","External Complaints","Phone Call","","2019-03-08 00:00:00","","Northeast District","False Arrest/Imprisonment","","a09d6ec6c336e2b113f543c2f8be2db7","Complainant","Black","Male","30","0cd8badfbf9dd487700d90bf2385395a","White","Male","31","8"
"f48fbea1eb632e793024be7a51403c28","2019-0401","","External Complaints","Phone Call","","2019-03-08 00:00:00","","Northeast District","False Statement/Report","","a09d6ec6c336e2b113f543c2f8be2db7","Complainant","Black","Male","30","0cd8badfbf9dd487700d90bf2385395a","White","Male","31","8"
"f6cc47d41ba650f5a9a6d8f006c4ec05","2019-0398","","Internal Complaints","Agency Member","","2019-03-07 00:00:00","","Administrative Division","Criminal Association","","","","","","","5d3bb6b6eb7a73735a3640bb955d7b03","African Amer","Female","41","1"
"39064af363e6081342f34ef9ea0c9795","2019-0531","","External Complaints","Kga","2019-02-24 00:00:00","2019-03-24 00:00:00","","Northern District","Improper Stop/Search/Seizure","","c5a8dfbe666e2ff2c13a86b81e0eb748","Complainant","White","Male","","54659595c1f2b1f76f01dd8eda6a2c84","White","Female","37","2"
"73d35d52e106a28c3b0e2bff15cc20c2","2019-0503","","Ethics","","","2019-03-19 00:00:00","","","Conduct Unbecoming a Police Officer/Employee","","501f85d2b24cef61e09d04f6a757db74","Complainant","","Female","","","","","",""
"39f18d8f07225d4d721fe114f5450a8f","2019-0369","","External Complaints","Phone Call","2019-03-03 00:00:00","2019-03-04 00:00:00","","Southwest District","Harassment","","494110e0c93aca6945f7aac8935d60c6","Complainant","White","Female","","cef04340deaaa8d4648e8015ba486a70","White","Male","24","2"
"79f40c0ee013a99cdb50c2ac15ae1846","2019-0408","","Internal Complaints","Agency Member","2019-03-06 00:00:00","2019-03-06 00:00:00","","CID - Citywide Shootings","Neglect/General","","","","","","","","","","",""
"ee0dfab32af4e9f1cf7e211f479dc9f7","2019-0456","","Internal Complaints","Agency Member","2018-06-06 00:00:00","2019-03-14 00:00:00","","DDS - CD","Harassment","","","","","","","a455270921af5f9e046e56171b50b83c","African Amer","Male","29","7"
"ee0dfab32af4e9f1cf7e211f479dc9f7","2019-0456","","Internal Complaints","Agency Member","2018-06-06 00:00:00","2019-03-14 00:00:00","","DDS - CD","Harassment","","","","","","","149f634c2baa9f438b523c65be6059b1","White","Male","27","4"
"d94f828c702f064a2b54d0bc1f6c6039","2019-0350","","Internal Complaints","Agency Member","2019-03-01 00:00:00","2019-03-01 00:00:00","","Central District","Conduct Unbecoming a Police Officer/Employee","","","","","","","d5be2c917409ad0dbd74b67e9fefbdad","African Amer","Male","56","27"
"cf9646e40e5ea777fd6121f38a47a0c0","2019-0473","Other","External Complaints","Walk-In Kirk Ave","","2019-03-15 00:00:00","","Eastern District","Neglect/General","","35a192fd5bc8fb522b814a36a001bd31","Complainant","Black","Female","","914af3c15f465c6072b40aeb881e26e7","African Amer","Female","59","20"
"6ae039319a7aedeff80fc08041508a9b","2015-0737","","Ethics","","2015-11-28 00:00:00","2015-12-01 00:00:00","2016-06-27 00:00:00","Northwestern District","Misconduct/General","Not Sustained","922773ca588d68bdc04115cd3f8fd10f","Witness","","","","d5cda7716c17270f9c6abc08712bc75b","Black","Female","44","25"
"f4c1a5100e2502493e6dd53d674a4b63","2018-0480","","External Complaints","Phone Call","2018-08-21 00:00:00","2018-08-21 00:00:00","","Citywide Shootings","False Statement/Report","","e69d0e1f599b85b26cf5abd85f545d77","Complainant","Black","Male","","d60b4a3f77659c17ccaceacf363d137d","African Amer","Male","53","21"
"d5efdfec35e29f73587251eccb87d833","2015-0329","Warrant Service","External Complaints","Citizen","2015-11-24 00:00:00","2015-11-24 00:00:00","2016-11-11 00:00:00","Central District","Harassment","Not Sustained","a7336352b8c6b1c43551e2edb9bbb96a","Complainant","Black","Female","37","6b2c39bbb2dcf56d5dad08eb660d87ab","White","Male","47","22"
"732bee9673cb8dc3d37abc997cb4ac0b","2015-0172","On View","External Complaints","Citizen","2015-04-03 00:00:00","2015-04-06 00:00:00","2016-03-21 00:00:00","Central District","Misconduct/General","Not Sustained","7f4a73e80978a3ea7ebf3e509f6d55f0","Witness","","","","5268c4a1e28baf43c19f73d75f6974de","White","Male","29","5"
"2aa9ae05133f7cfcca4b5c8796df3a7f","2018-0654","","External Complaints","Agency Member","2018-10-29 00:00:00","2018-10-29 00:00:00","","Southwest District","VCS/Other Misdemeanor","","2ceeb4bfa690bfd5f8f3a150f4792647","Complainant","","Male","","83319e067da5a5348e5d3fd5210bfabe","African Amer","Male","30","11"
"0e90fcb82e67c3718eec9e45b40f1f36","2016-0318","","External Complaints","Citizen","2016-04-22 00:00:00","2016-07-15 00:00:00","2017-04-20 00:00:00","Central District","Inappropriate Comment","Not Sustained","2b8c17f37d1737c3cf7c5460ec865562","Complainant","Black","Male","21","8470bb783b75323aa76940153d91bd38","White","Male","25","3"
"089209d400628c4ca1ad9be5dafa4579","2015-0648","","External Complaints","","2015-10-24 00:00:00","2015-10-27 00:00:00","2016-08-10 00:00:00","Central District","Discourtesy","Not Sustained","810f0d55001974db970df5f246b34f3a","Complainant","Black","Female","37","27ae9d8d9808cf18524bf160e078e728","Black","Male","24","1"
"0e90fcb82e67c3718eec9e45b40f1f36","2016-0318","","External Complaints","Citizen","2016-04-22 00:00:00","2016-07-15 00:00:00","2017-04-20 00:00:00","Central District","Inappropriate Comment","Sustained","cef9220a7ed18651778789e631ec4e99","Witness","","","","","","","",""
"183b2c07e06f60fee5219baef076f4ff","2017-0347","","External Complaints","","2017-06-12 00:00:00","2017-06-12 00:00:00","2017-10-19 00:00:00","Northwest District","Abusive or Discriminatory Language","Unfounded","477814fcceb22fd20e2b34e7c6c876ed","Witness","","","","b7c12a8c7f13da335b9404d26d326fcc","White","Male","45","16"
"49bf0a09adf7309fbf64bc9e16390fd0","2015-0376","","External Complaints","Citizen","2015-08-13 00:00:00","2015-08-14 00:00:00","2016-08-05 00:00:00","Northern District","Misconduct/General","Not Sustained","013775cbc5d2d6f44b442e870869c90b","Complainant","Black","Male","","b6df2dc76a7f6e9c04284d52eda09eae","Black","Male","32","8"
"0983f7d65c3c38d14d402dd06f5a3ea0","2015-0629","","External Complaints","Citizen","2015-10-14 00:00:00","2015-10-16 00:00:00","2016-05-17 00:00:00","Central District","Inappropriate Comment","Sustained","b2a71fbfd49d3218a1c2062ae88971fb","Complainant","Black","Female","","62c4d54bcb9a02fe308132dee946bb4b","White","Male","45","14"
"10e8cd1f6ba927b30c3490de8f1e733a","2015-0729","","Ethics","Citizen","2015-11-24 00:00:00","2015-11-24 00:00:00","2016-02-09 00:00:00","Southeastern District","Misconduct/General","Not Sustained","e182e4c0ee256a2052df3cbd781e058e","Complainant","White","Female","29","547f357decabe16887bc6cab9058ffea","White","Male","32","9"
"fccd46c540d37bd194a53e8699ceb477","2018-0446","","Internal Complaints","Agency Member","2018-08-07 00:00:00","2018-08-07 00:00:00","2018-09-19 00:00:00","Communications Unit","Domestic Incident","Unfounded","c598b5e549920842997771944808efc2","Witness","","","","dd2c8566e7ea4dbea16aa68aa79df0af","White","Male","50","6"
"3c86b0f9e9b883d9953fd1eaa057b310","2018-0498","","Internal Complaints","Agency Member","2018-08-21 00:00:00","2018-08-21 00:00:00","","Western District","Unsafe Operation of Departmental Vehicle","","03428e8382fa3aa3d758cfebba6c13b1","Complainant","Black","Male","38","3d96840decf0919ea870a11158ea40f9","White","Male","42","9"
"c4c5a3a34a735346a65f1906077500bb","2017-0024","","External Complaints","","2017-01-05 00:00:00","2017-01-18 00:00:00","2017-07-12 00:00:00","OIS - WATF","Conduct Unbecoming a Police Officer/Employee","Sustained","273638aaa6fa7b5f3b64fce2dfcbbbb7","Complainant","Black","Male","","7352195b91d8ea9f045787aa872ef2f7","White","Male","49","19"
"e01f332ed6f8f0be0d2e427e546926b8","2018-0484","","External Complaints","Phone Call","2018-07-26 00:00:00","2018-08-22 00:00:00","","Northwest District","VCS/Other Misdemeanor","","44aef9e1d7c9e7edd3a800bda0548564","Witness","","","","e2ef976cd09860c05eb37739b94bd664","African Amer","Male","40","19"
"cf9646e40e5ea777fd6121f38a47a0c0","2019-0473","Other","External Complaints","Walk-In Kirk Ave","","2019-03-15 00:00:00","","Eastern District","Neglect / Failure to Supervise","","35a192fd5bc8fb522b814a36a001bd31","Complainant","Black","Female","","914af3c15f465c6072b40aeb881e26e7","African Amer","Female","59","20"
"6ae039319a7aedeff80fc08041508a9b","2015-0737","","Ethics","","2015-11-28 00:00:00","2015-12-01 00:00:00","2016-06-27 00:00:00","Northwestern District","Misconduct/VCS Assault","Not Sustained","aa30105dabf0aa2157b0eb4bcfe9cfb3","Witness","","","","d5cda7716c17270f9c6abc08712bc75b","Black","Female","44","25"
"4929c48a2a32617746379a54acf9eb6e","2015-0086","Call for Service","External Complaints","Citizen","2015-02-23 00:00:00","2015-02-24 00:00:00","2016-05-31 00:00:00","Central District","Misconduct/VCS/Assault","Sustained","999bff2d10492d64f3701896c5f54798","Complainant","Black","Female","","c4729214d0752b678aabad24c729658a","White","Male","25","1"
"7b2d2731fe87e9a5a4d5fae740a79955","2016-0031","On View","External Complaints","Citizen","2015-01-15 00:00:00","2016-01-20 00:00:00","2016-10-14 00:00:00","Southeastern District","False Arrest / Imprisonment","Unfounded","583d1aaeca008d12e4655187087a06d3","Complainant","Black","Female","29","d32e2e5a4a20850ec7517f59af74ef56","White","Male","43","3"
"6ff0be9cf66566a0388888311e7db6d7","2016-0288","","Ethics","","","2016-06-28 00:00:00","2016-09-28 00:00:00","Southern District","False Arrest / Imprisonment","Unfounded","c573f117ff4bc0d044be8fa88bcb1425","Complainant","","Male","","eb304f57d2ab87b4f2dd7fa0a7879007","Other Hispan","Male","31","5"
"5da2ff55cd675373b44954ef754a226a","2015-0191","","Ethics","States Attorneys Office","2015-04-09 00:00:00","2015-04-09 00:00:00","2017-11-09 00:00:00","SES - Northwest Zones","Misconduct/VCS","Sustained","570c4d9d7371b784e66a817df26d27d7","Witness","","","","5e6617402bfd2ff099086dd1c4fa8e63","White","Male","46","18"
"5da2ff55cd675373b44954ef754a226a","2015-0191","","Ethics","States Attorneys Office","2015-04-09 00:00:00","2015-04-09 00:00:00","2017-11-09 00:00:00","SES - Northwest Zones","Misconduct/VCS","Sustained","a481db366385cd0f78629756b4acd77b","Witness","","","","5e6617402bfd2ff099086dd1c4fa8e63","White","Male","46","18"
"5da2ff55cd675373b44954ef754a226a","2015-0191","","Ethics","States Attorneys Office","2015-04-09 00:00:00","2015-04-09 00:00:00","2017-11-09 00:00:00","SES - Northwest Zones","Misrepresentation of Facts","Sustained","a481db366385cd0f78629756b4acd77b","Witness","","","","5e6617402bfd2ff099086dd1c4fa8e63","White","Male","46","18"
"9e13fd4238da064d55ff44532bffaf00","2015-0237","","External Complaints","","2015-03-27 00:00:00","2015-04-23 00:00:00","2016-04-22 00:00:00","Northwestern District","Discourtesy","Not Sustained","e10616bacbe7e59b92303e025c5cc383","Complainant","Black","Male","24","e9f9154ffcc5f6780439af65602ea6b3","Black","Male","27","6"
"5171e33157c1574e7450b42cc7430067","2015-0795","Unknown","External Complaints","Citizen","2015-12-27 00:00:00","2015-12-28 00:00:00","2016-08-25 00:00:00","","Misconduct/General","Not Sustained","af48d0a5212258132110cc322ba380ed","Complainant","White","Male","20","","","","",""
"cf9646e40e5ea777fd6121f38a47a0c0","2019-0473","Other","External Complaints","Walk-In Kirk Ave","","2019-03-15 00:00:00","","Eastern District","Inappropriate Comments And/Or Gesture(s)","","35a192fd5bc8fb522b814a36a001bd31","Complainant","Black","Female","","","","","",""
"f83c53bbdfb55df7df9b1951ab7eac25","2015-0225","","External Complaints","Other Agency","2015-04-21 00:00:00","2015-04-22 00:00:00","2016-03-31 00:00:00","Southern District","Misconduct/General","Not Sustained","76059e22126d43f5182e905c25383810","Complainant","","Female","","0c7a458d76c51a42dc4b888650484354","Black","Male","23","1"
"f83c53bbdfb55df7df9b1951ab7eac25","2015-0225","","External Complaints","Other Agency","2015-04-21 00:00:00","2015-04-22 00:00:00","2016-03-31 00:00:00","Southern District","Misconduct/VCS Assault","Not Sustained","5e6f119353a833358818eb0ad0c3774e","Complainant","","Female","","0c7a458d76c51a42dc4b888650484354","Black","Male","23","1"
"2c32fb2d16923e9d8e3e9272a953b0a1","2015-0612","","External Complaints","","2015-10-13 00:00:00","2015-10-14 00:00:00","2016-07-01 00:00:00","Southeastern District","Harassment","Not Sustained","c1fc210bb2c778b0c14fe024730b1be3","Complainant","Black","Male","","fd2e2863d4a22accf9e8513f07bd45b4","White","Male","45","20"
"e89a142e6ab67fbfada741cce9aafd78","2015-0633","","External Complaints","Citizen","2015-10-21 00:00:00","2015-10-23 00:00:00","2016-02-09 00:00:00","Central District","Discourtesy","Not Sustained","62fc1fe730925ed52bd282986efd08ad","Complainant","Black","Female","54","","","","",""
"a1bb02cc8b5494a69444c9ec716d1e22","2015-0126","","External Complaints","Citizen","2015-03-12 00:00:00","2015-03-13 00:00:00","2016-03-10 00:00:00","OIS - Task Force Units","Misconduct/Improper Search of Person(s)","Not Sustained","7a6c030651d6c5077fc9bb27bfe870c2","Complainant","Unknown","Female","","93329ebfe1950e7b2572d92aed4b3de6","Black","Male","34","9"
"43e51b186bb2e2e0fe79fc0525c6e8a0","2015-0140","","External Complaints","","2015-03-20 00:00:00","2015-03-20 00:00:00","2016-06-10 00:00:00","Southwestern District","Misconduct/General","Sustained","f1c4784464557d3b5e7bee4ee13f5606","Complainant","","Male","","1b6a8f3ed7b6a24037f5da935ce63d16","Black","Male","28","6"
"b6d913a5004ce6947b179b72ae3aaa98","2015-0564","","External Complaints","Citizen","2015-09-24 00:00:00","2015-09-24 00:00:00","2016-03-16 00:00:00","Northeastern District","Excessive Force","Not Sustained","413232a07cb153137a4decfeb7602198","Witness","","","","b9a4a42cfcfaf7e23e49df31337622e5","White","Male","47","21"
"17f30e14d6abd4d5ae1f53a382aa2b93","2015-0611","","External Complaints","Citizen","2015-10-12 00:00:00","2015-10-13 00:00:00","2016-05-17 00:00:00","Northern District","Misconduct/General","Sustained","a1e27704666b1e4e4944d285c58572d3","Witness","","","","26d7159dc9634fa75b00fb1bd0548db1","White","Male","56","34"
"17f30e14d6abd4d5ae1f53a382aa2b93","2015-0611","","External Complaints","Citizen","2015-10-12 00:00:00","2015-10-13 00:00:00","2016-05-17 00:00:00","Northern District","Excessive Force","Not Sustained","a1e27704666b1e4e4944d285c58572d3","Witness","","","","26d7159dc9634fa75b00fb1bd0548db1","White","Male","56","34"
"1c5dac78e72fa5607531baf26ba7e2d3","2017-0298","","External Complaints","Citizen","2017-05-17 00:00:00","2017-05-17 00:00:00","2018-05-25 00:00:00","CID - DDS - Pawn Shop Unit","Harassment","Not Sustained","117625254ee2229c61771e49d07a0083","Witness","","","","7f389445859e0be551bfe0f9c64e1f6f","African Amer","Female","60","24"
"6ae039319a7aedeff80fc08041508a9b","2015-0737","","Ethics","","2015-11-28 00:00:00","2015-12-01 00:00:00","2016-06-27 00:00:00","Northwestern District","Misconduct/VCS Assault","Not Sustained","3f6b6527b292baa1c03cb123a52ea629","Witness","","","","d5cda7716c17270f9c6abc08712bc75b","Black","Female","44","25"
"1de8d803139a24a4c5fb54291c6edfe2","2015-0021","","External Complaints","","","2015-01-23 00:00:00","2015-10-26 00:00:00","Central District","Discourtesy","Not Sustained","f6238a8c5ea67fb7048d75da19e3748d","Complainant","","","","299d0de8de883f0eec7c683d23adcfca","Black","Male","50","14"
"68eaaa35227891ce2186494d93bbd812","2015-0692","Warrant Service","External Complaints","Citizen","2015-11-10 00:00:00","2015-11-10 00:00:00","2016-09-15 00:00:00","Operational Intelligence Section","Inappropriate Comment","Not Sustained","73f5e8d96dc12b554e89a10215fbf766","Witness","","","","","","","",""
"0803c7c933e9aee12cdce43b22294716","2015-0695","","External Complaints","Citizen","2015-11-10 00:00:00","2015-11-10 00:00:00","2016-02-12 00:00:00","Southern District","Misconduct/Improper Search of Person(s)","Unfounded","fedba8a3614f486fde32c9f571ea16a7","Complainant","W","Male","18","1f0c2bd534d5ba2b6882309cffe457eb","White","Male","49","22"
"102e236d2218f0c8a567ed7e91a0bbfd","2018-0422","","External Complaints","Other Agency","2018-07-22 00:00:00","2018-07-22 00:00:00","","Academy Trainees","VCS/Driving Under the Influence (DUI)","","63ff45190c84f2b792566db5fa7cc54e","Witness","","","","ef97415473f7919316d5e2c5640e129d","White","Male","25",""
"0803c7c933e9aee12cdce43b22294716","2015-0695","","External Complaints","Citizen","2015-11-10 00:00:00","2015-11-10 00:00:00","2016-02-12 00:00:00","Southern District","Discourtesy","Unfounded","fedba8a3614f486fde32c9f571ea16a7","Complainant","W","Male","18","1f0c2bd534d5ba2b6882309cffe457eb","White","Male","49","22"
"8b9bb2c4176e43c0b88ceccb729c3fa1","2015-0777","","External Complaints","","2015-04-10 00:00:00","2015-12-22 00:00:00","2016-08-09 00:00:00","Western District","Excessive Force","Unfounded","61cb31912f99687f5c32c2d3cd1fb18e","Complainant","Black","Male","","bb04d3dc91253fac23fa06e8ba81d558","Other Asian","Male","29","4"
"f051f2a89561f8c0cb8c321d53d47d15","2018-0292","","External Complaints","Attorney","2018-11-15 00:00:00","2018-05-09 00:00:00","","Western District","Neglect/General","","ecfdc134dbc80c3a7397b3e13cd8ee17","Complainant","Unknown","Female","","bd911989f521c8d48e08762ed0573381","African Amer","Male","46","20"
"253273107110992696dddaf65824d2d1","2017-0596","","External Complaints","Citizen","2017-04-22 00:00:00","2017-10-03 00:00:00","2018-10-02 00:00:00","Citywide Robbery","Conduct Unbecoming a Police Officer/Employee","Sustained","cd71269ab55c84feb779004b38020bd6","Complainant","Black","Male","34","4ce4dcded95a64bd9d9221a11c1515e9","African Amer","Male","47","21"
"253273107110992696dddaf65824d2d1","2017-0596","","External Complaints","Citizen","2017-04-22 00:00:00","2017-10-03 00:00:00","2018-10-02 00:00:00","Citywide Robbery","Neglect/General","Sustained","cd71269ab55c84feb779004b38020bd6","Complainant","Black","Male","34","4ce4dcded95a64bd9d9221a11c1515e9","African Amer","Male","47","21"
"d3bd3c39972f13fa039d7692a32a4d4a","2015-0045","","External Complaints","Citizen","2015-02-04 00:00:00","2015-02-04 00:00:00","2016-01-16 00:00:00","Central District","Misconduct/General","Sustained","83dce4112a5843e09fc8439dea929245","Complainant","Black","Male","","0d3ad2e5c75b799f6a2ce20904d0e681","Black","Female","37","12"
"aa7b0221e932abcc83a78028fafe3451","2015-0374","On View","External Complaints","Citizen","2015-06-25 00:00:00","2015-06-25 00:00:00","2015-09-08 00:00:00","Southwestern District","Unwarranted Action","Not Sustained","bcc1367a755d348ad814ca4ada77daeb","Complainant","Black","Female","","42dbeaa8c0cbc20fa9de29d5dc434a52","Black","Female","44","17"
"c34d21b851f22c95e5fa5c01b0489a7f","2015-0467","","External Complaints","","2015-08-05 00:00:00","2015-08-06 00:00:00","2016-06-03 00:00:00","Southwestern District","Misconduct/General","Not Sustained","ae139507ab7eadcec0c2ba02211ad3d8","Complainant","Black","Female","","e6ed32272a056b66c0d701f1b34f74d5","Black","Male","47","19"
"33c32a191c55bc46330fef9ef7d26199","2016-0135","On View","External Complaints","Citizen","2016-04-04 00:00:00","2016-04-04 00:00:00","2017-01-19 00:00:00","Northeastern District","False Arrest / Imprisonment","Not Sustained","ca8fa42d23c025c094a6c48683150c42","Complainant","Black","Female","45","49300d0a3793a390997ed4be7c716fd6","Other Asian","Male","25","4"
"6ec9f481f989d312a6be688847907993","2016-0128","","External Complaints","Citizen","","2016-03-29 00:00:00","2017-01-24 00:00:00","Northeastern District","Mediation Program Review","","b292af4eedcb5ab9e2407c00ccbde14b","Complainant","Black","Male","18","49300d0a3793a390997ed4be7c716fd6","Other Asian","Male","24","3"
"5bcf8a8849710c9a601ed3acafbd1851","2017-0406","","External Complaints","Citizen","2017-07-22 00:00:00","2017-07-22 00:00:00","2017-11-24 00:00:00","Northeast District","Neglect/Failure to Write Report","Not Sustained","3bc3d5e4d5240cf817f72eeece97b339","Complainant","Black","Female","30","2b038af9cf1bbb90192d20ae626389a2","White","Male","53","23"
"5a4c6975596dc691b1b89f01c3149a56","2015-0118","Call for Service","External Complaints","Citizen","2015-02-28 00:00:00","2015-03-09 00:00:00","2016-02-12 00:00:00","Southeastern District","Unwarranted Action","Not Sustained","d177df80c7e027aa1b48cdbdd7395d99","Complainant","W","Female","59","","","","",""
"5a4c6975596dc691b1b89f01c3149a56","2015-0118","Call for Service","External Complaints","Citizen","2015-02-28 00:00:00","2015-03-09 00:00:00","2016-02-12 00:00:00","Southeastern District","Discourtesy","Not Sustained","d177df80c7e027aa1b48cdbdd7395d99","Complainant","W","Female","59","","","","",""
"c95fa94d3cf3cb9018f1468e095b420e","2018-0579","","Internal Complaints","Agency Member","2018-10-03 00:00:00","2018-10-03 00:00:00","","Eastern District","Conduct Unbecoming a Police Officer/Employee","","da62bbad22791a85f44863b708012bbf","Complainant","Black","Female","","","","","",""
"3b22e14050650dd872347231227e3e92","2016-0659","","External Complaints","Citizen","2016-07-07 00:00:00","2016-07-08 00:00:00","2017-03-31 00:00:00","Northern District","Discourtesy","Sustained","3658204b1c49fc27e9284fc899fdc85c","Complainant","White","Female","","5f771e16c28e5e4d9a47bbf37544e3fe","White","Female","43","21"
"3b22e14050650dd872347231227e3e92","2016-0659","","External Complaints","Citizen","2016-07-07 00:00:00","2016-07-08 00:00:00","2017-03-31 00:00:00","Northern District","Misconduct/General","Sustained","e709e137c7aef410dcce420da3938069","Witness","","","","5f771e16c28e5e4d9a47bbf37544e3fe","White","Female","43","21"
"f82832a15dd58771a3fe2fb02d7a8d2b","2016-0056","","External Complaints","Agency Member","2016-02-11 00:00:00","2016-02-11 00:00:00","2016-03-31 00:00:00","Eastern District","Harassment","Not Sustained","ae1aabeb47e3196b6564c236740429aa","Complainant","","Male","23","","Black","Female","",""
